"Year","Location","trialName","Trial","plot_name","Plot","Block","Line","pass","range","GrainMoisture|%","TestWeight|lb/bu","GrainYield|bu/ac","HeadingDate|Julian","Height|in","Awns|A-TA-AL","notes|","Entry","Pedigree","PlotWeight|g","Lodging|0-9","PowderyMildew|0-9","AWN|CO_321:0501164"
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1001",1001,1,"VA22FHB-174",2,1,12.4,57.9,76.0062669295894,120,35,NA,"unif",669,"ARGE07-1347-6-7-9 (Bess//ARGE97-1060-5-5/VA-FE24-4-6) / Featherstone 31 (VA12W-31) // VA13W-38 [IL99-15867 (IL93-2879/ P881705A-1-X-60) / Jamestown]",2110.1,0,NA,3
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1002",1002,1,"VA22W-109",3,1,12.8,57.7,67.6095917224606,120,33,NA,"uneven",122,"ARGA04494-11E49 (AWD99*5261 /SS8641) / Hilliard (VA11W-108)",1885.6,0,NA,3
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1003",1003,1,"VA22W-222",4,1,12.5,58.4,76.5275485977163,122,32,NA,"bad overspray, nice otherwise, keep ",235,"VA14W-6 [Jamestown (VA02W-370) / Shirley (VA03W-409) // SS 8404] / VA07MAS3-7304-3-2-4-3 [Shirley / AGS 2026 (GA951231-4E26) // SS8404]",2127,0,NA,3
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1004",1004,1,"VA22W-218",5,1,11.8,59.7,77.1941693877579,123,31,NA,"few awn types in awnless, rouged NS",231,"VA14W-6 [Jamestown (VA02W-370) / Shirley (VA03W-409) // SS 8404] / VA07MAS3-7304-3-2-4-3 [Shirley / AGS 2026 (GA951231-4E26) // SS8404]",2128.5,0,NA,1
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1005",1005,1,"19VTK5-167",6,1,12.4,57.9,99.9597134525869,122,33,NA,"unif",746,"KWS192 / VA16W-202",2775.1,0,NA,3
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1006",1006,1,"19VTK15-21",7,1,12.1,60.6,93.2612723892475,119,35,NA,"t",831,"13VTK429-3 / VA17W-75",2580.3,0,NA,3
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1007",1007,1,"VA22FHB-46",8,1,12.1,60.8,83.4988921728634,125,38,NA,"uneven, tt",541,"IL11-6543 (IL97-1828 / IL02-18228) / Featherstone 31 (VA12W-31)",2310.2,0,NA,3
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1008",1008,1,"VA22W-375",9,1,12,59.8,74.2690890064854,120,33,NA,"unif",388,"Pioneer 112355W (AgriMAXX 446) / Jamestown // TXGA06343-17-3-5-EL2 (011638-G1-G1/981592-8-8-1//991336-47-5W-1W)",2052.5,0,NA,3
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1009",1009,1,"VA22W-127",10,1,12.2,59.8,80.9994753999373,123,37,NA,"t, l uneven",140,"ARGA04494-11E49 (AWD99*5261 /SS8641) / Hilliard (VA11W-108)",2243.6,0,NA,3
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1010",1010,1,"19VTK6-36",11,1,16.5,NA,86.453874271291,132,40,NA,"very late. tall, probably drop. ",753,"KWS192 / 15VDH-SRW02-075",2518,0,NA,3
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1011",1011,1,"VA22W-199",12,1,11.3,57.9,86.8447388927997,124,32,NA,"unif",212,"VA14W-59 [VA06W-627 ( IL 94-1549 (SCAB-RES) /VA97W-375 (CK9803/Freedom)// Coker 9025 (BL930390))] / [VA06W-256 {McCormick""S"" (VA98W-590) / VAN99W-97 [Coker 983//GA-ANDY/VA90-21-20 (79IWWRN67//CK65-20/ATR)] / SR8483 (VA12W-68)",2381.1,0,NA,3
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1012",1012,1,"VA22W-18",13,1,12,59.4,72.9700584119262,121,33,NA,"meh",31,"12V51 (VA05W-251) / Pioneer Brand 26R41 // Hilliard (VA11W-108)",2016.6,0,NA,3
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1013",1013,1,"VA22W-297",14,1,11.4,55.3,68.272462462166,120,30,NA,"meh, l uneven",310,"Pioneer 112348W (USG 3404) / Jamestown // VA14W-6 [Jamestown (VA02W-370) / Shirley (VA03W-409) // SS 8404]",1874,0,NA,3
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1014",1014,1,"VA22FHB-111",15,1,12,61.4,88.439016049087,124,39,NA,"tall",606,"Featherstone 73 (VA09W-73) / MDC07026-F2-19-13-4 (SS8641// McCormick*2/Ning7840) // HILLIARD (VA11W-108)",2444.1,0,NA,3
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1015",1015,1,"VA22W-335",16,1,11.5,59,72.4749037392343,119,35,NA,"uneven",348,"Pioneer 112355W (AgriMAXX 446) / Jamestown // ARGA04494-11E49 (AWD99*5261 /SS8641)",1991.6,0,NA,3
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1016",1016,1,"VA22W-111",17,1,11.4,56.1,73.657024869801,120,35,NA,"v uneven, thick",124,"ARGA04494-11E49 (AWD99*5261 /SS8641) / Hilliard (VA11W-108)",2021.8,0,NA,3
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1017",1017,1,"19VDH-FHB-MAS05-34",18,1,11.6,60.8,90.6584701825438,123,34,NA,"v unif, thick! nice",688,"VA13W-174 / Pioneer W050216N2 // 13VTK59-55",2494.1,0,NA,1
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1018",1018,1,"VA22W-41",19,1,11.3,57.9,87.5413641974288,120,34,NA,"l uneven, ok, little lodge",54,"VA11W-313 (Berkeley""S"") / VA14W-6 [Jamestown (VA02W-370) / Shirley (VA03W-409) // SS 8404]",2400.2,2,NA,3
2022,"BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA","SRWObs_2022_BLAVA_1019",1019,1,"VA22W-257",20,1,11.7,58.6,70.1435278732082,118,34,NA,"seg, drop",270,"VA12FHB-8 [IL99-27048 (IL90-6364/Pioneer 2571) / VA04W-486 [ERNIE//INW 9824 (P92823A1-1-4-4-5 =Clark*4/ Ning7840)/ McCormick] // Shirley] / VA07MAS4-7417-1-3-3 [Oglethorpe (GA951231-4E25) / SS8404 // Shirley]",1931.9,0,NA,1
